prefcode,n03_007,cityname,building_count,building_types,avg_height,max_height,avg_levels,max_levels,total_building_area_ha,avg_building_area_ha,max_building_area_ha,height_count,levels_count,min_height_count,underground_count,ele_count,date_count,source_count,name_count,editor_count,prefecture_area_ha,building_coverage_percent
11,11465,ふじみ野市,1855368,24,,,2.02,23.0,17976.3967,0.0097,1.9802,0,69336,0,0,0,0,1644336,9864,33,57789.0,31.11
4,04606,仙台市宮城野区,1840956,35,12.23,64.95,2.4,21.0,32766.2094,0.0178,13.6909,507,405756,156,0,0,507,78078,224133,137,80500.0,40.7
12,12801,市川市,1836300,33,24.29,59.24,3.77,40.0,37892.483,0.0206,68.608,1080,26640,60,0,0,0,685140,17760,103,36816.0,102.92
13,13808,豊島区,1824153,45,42.99,158.28,4.81,42.0,21484.6058,0.0118,2.9397,3726,127926,138,1380,69,414,905694,82800,172,22553.0,95.26
36,36489,徳島市,1813968,29,13.5,15.0,2.92,18.0,20774.8179,0.0115,2.9243,48,3288,24,0,0,24,22776,32520,123,72142.0,28.8
40,40801,うきは市,1811349,17,4.51,30.9,1.42,8.0,27496.1326,0.0152,2.5075,1807115,1183403,0,1766746,1768863,117092,438,4672,16,48244.0,56.99
11,11465,杉戸町,1782216,13,,,2.04,5.0,19405.3943,0.0109,2.1623,0,6768,0,0,0,0,382536,3240,110,57789.0,33.58
1,01700,当麻町,1771026,5,,,,,24407.9108,0.0138,1.1953,0,0,0,0,0,0,1494964,1552,16,147751.0,16.52
1,01700,夕張市,1761326,14,,,3.0,3.0,20034.1577,0.0114,2.3729,0,194,0,0,0,0,388,14162,32,147751.0,13.56
43,43531,熊本市東区,1751309,16,10.0,10.0,3.18,12.0,23568.0654,0.0135,4.1234,49,1911,0,0,0,0,436884,7497,188,68382.0,34.47
28,28586,神戸市北区,1749594,27,5.85,22.6,2.8,8.0,20220.1335,0.0116,6.568,16709,1960,0,0,16709,98,37289,19992,78,69755.0,28.99
26,26465,京都市北区,1737540,33,6.68,13.0,2.9,11.0,12102.1638,0.007,1.208,3456,15300,3168,0,36,324,326052,23508,109,61640.0,19.63
1,01700,赤平市,1732614,8,,,,,18293.3887,0.0106,1.0341,0,0,0,0,0,0,970,9506,15,147751.0,12.38
13,13808,港区,1718169,44,73.07,332.6,8.31,64.0,41703.3065,0.0243,2.3614,23667,130134,2760,2415,759,2898,1262010,217212,364,22553.0,184.91
27,27383,大阪市阿倍野区,1716984,27,7.4,300.0,2.47,60.0,16236.0701,0.0095,3.2731,530208,420696,0,144,529992,216,663336,13392,66,10963.0,148.1
27,27383,堺市北区,1709712,36,22.5,80.0,2.34,26.0,20899.5475,0.0122,2.945,288,343584,0,144,72,38880,913608,56016,60,10963.0,190.64
5,05464,横手市,1698050,35,30.8,40.0,2.4,11.0,23437.8576,0.0138,3.3654,125,11500,0,0,150,1325,14000,61975,37,120959.0,19.38
12,12801,千葉市若葉区,1696380,18,40.0,40.0,2.99,11.0,17240.502,0.0102,2.0412,540,7560,0,0,0,0,246000,6720,54,36816.0,46.83
23,23801,安城市,1675800,31,5.36,63.25,1.45,20.0,32712.728,0.0195,15.083,807590,396620,0,0,807310,360430,3850,61250,62,91832.0,35.62
22,22461,袋井市,1672012,16,,,3.43,12.0,27749.0939,0.0166,4.6602,0,1978,0,0,516,0,2021,8901,53,107405.0,25.84
26,26465,京都市山科区,1671336,25,26.5,35.0,4.32,11.0,11974.4705,0.0072,0.7405,72,2664,0,0,72,180,53280,10980,62,61640.0,19.43
11,11465,入間市,1666512,24,,,2.33,5.0,24853.3151,0.0149,9.6875,0,864,0,0,0,0,548280,46296,57,57789.0,43.01
1,01700,足寄町,1661028,6,,,1.0,1.0,24408.4187,0.0147,0.5617,0,194,0,0,0,0,1081550,2522,22,147751.0,16.52
1,01700,安平町,1657536,9,,,1.2,3.0,30825.2957,0.0186,1.4839,0,37830,0,0,0,0,51216,16102,56,147751.0,20.86
34,34545,福山市,1653270,31,6.63,59.99,2.8,20.0,22968.1229,0.0139,5.2121,964830,9300,0,0,962370,30,1170570,46530,100,124649.0,18.43
31,31403,米子市,1649998,13,12.0,23.0,2.0,14.0,14274.6988,0.0087,2.1418,38,4123,0,0,0,0,6042,1767,30,76531.0,18.65
27,27383,大阪市旭区,1649376,25,3.86,11.7,2.61,23.0,13184.1441,0.008,0.3178,5328,337248,0,0,5328,0,181440,4464,33,10963.0,120.26
1,01700,厚真町,1646866,13,,,1.28,3.0,27899.5394,0.0169,3.2954,0,44038,0,0,0,0,290612,18430,94,147751.0,18.88
28,28586,神戸市東灘区,1645714,33,90.0,170.0,3.75,47.0,26225.4805,0.0159,3.8174,98,57526,0,49,0,0,117012,32340,72,69755.0,37.6
12,12801,浦安市,1639020,22,23.85,59.9,5.59,28.0,27255.55,0.0166,3.5132,4140,24300,0,0,0,60,279960,14100,83,36816.0,74.03
